[15110, 16510]
[16510, 17350]
[17350, 19990]
[19990, 21100]
[21100, 21900]
[21900, 22550]
[22550, 22810]
[22810, 23020]
[23020, 23870]
[23870, 24710]
[24710, 26490]
[26490, 27090]
[27090, 29420]
[29420, 30220]
[30220, 31420]
[31420, 32220]
[32220, 33110]
[33110, 34130]
[34130, 35430]
[35430, 36390]
[36390, 37440]
[37440, 38420]
[38420, 39420]
[39420, 40220]
[40220, 41090]
[41090, 44360]
[44360, 47820]
[47820, 48820]
[48820, 49620]
[49620, 50430]
[50430, 51150]
[14123050, 14128850]
[15078010, 15078650]
[28495060, 28508680]
